NOME,CPF,TELEFONE,CEP,NUMERO
Donna Morse,927.345.801-79,(51) 56370-1428,20934-675,9785
Kristine Klein,306.917.248-22,(82) 35748-9021,43580-261,1803
Margaret Mcneil,698.520.731-68,(87) 13054-6792,14835-926,372
Mrs. Victoria Gordon,351.876.429-28,(32) 90417-8265,46907-352,8275
Ryan Patterson,160.439.528-15,(33) 95631-8402,96405-187,6980
Bradley James,920.864.753-65,(43) 91637-8205,60874-125,1463
Karen Brown,904.763.281-87,(86) 41936-2780,43280-791,028
Mrs. Belinda Kirby,925.607.148-76,(31) 69352-7418,40716-328,8310
Steven Allen,254.097.381-79,(83) 05967-2418,07825-139,3205
Justin Smith,214.385.709-88,(13) 19760-5324,45123-678,85
Seth Hughes,041.385.972-04,(98) 49632-0157,01368-947,528
Dennis Norton,507.693.842-00,(18) 06542-7893,20689-345,8014
Todd Murphy,493.601.782-50,(64) 14872-3506,45316-982,943
Abigail Howard,176.350.249-06,(51) 61783-0925,58964-213,197
Rebecca Johnson,213.907.468-87,(42) 79018-2536,34065-182,824
Robert Burke MD,328.147.965-00,(53) 36980-5214,10736-528,8913
Rebecca Larson,132.450.678-44,(22) 20381-5497,52870-963,735
Michael Rivera,842.793.561-73,(99) 32479-5681,47138-605,956
Patrick Arroyo,742.695.130-80,(87) 32609-8415,58431-620,3248
Chad Austin,462.530.178-53,(44) 46175-3209,97163-042,6807
Kenneth Bell,920.576.843-00,(69) 63925-0817,67130-542,765
Lisa Copeland,874.539.261-73,(43) 28975-3406,08692-713,923
Ellen Avila,046.139.752-80,(11) 92436-0857,43895-126,745
Katherine Wong,239.485.160-06,(82) 92803-5176,59842-617,576
Joshua Sanchez,503.497.218-23,(36) 85641-2073,38496-710,693
Lisa Reid,452.639.108-51,(13) 75316-9024,61275-940,587
Shawn Griffin,503.468.912-05,(89) 05213-7698,06745-982,9587
Jessica Smith,289.546.107-49,(39) 37619-8204,50812-943,073
Clayton Brock,061.934.527-61,(56) 34268-0971,84016-735,7430
Mrs. Anna Garcia,823.159.476-00,(74) 40325-7198,78215-069,8390
Peter Garcia,473.208.569-56,(84) 40273-9615,94236-150,961
Gary Chambers,983.574.106-93,(62) 37591-2840,54601-789,3651
Julie Kaiser,495.830.162-33,(11) 90732-8415,75391-842,3905
Anthony Walsh,056.291.738-12,(61) 89516-2047,40732-196,815
Erika West,135.846.720-07,(31) 08795-3621,04153-689,104
Lisa Bender DDS,018.754.362-35,(62) 25897-0613,18594-260,3679
Brett Navarro,496.102.537-25,(54) 41326-8905,05972-861,9608
Morgan Smith,203.417.695-25,(45) 28435-9107,13679-280,9647
Donald Edwards,506.248.719-67,(89) 95048-2361,46719-280,25
Ashley Mathews,932.704.816-40,(23) 03982-5716,96015-278,697
Bonnie Moore,478.526.901-49,(41) 56908-1437,14307-289,385
Jacqueline Jacobson,329.857.406-65,(83) 40832-1567,79854-016,7805
Caleb Barber,439.176.082-78,(79) 10485-2936,21504-769,7685
Michelle Moreno,453.180.692-15,(73) 15764-3208,24013-789,875
Marcus Hurst,527.849.610-01,(97) 87250-3964,17985-023,3605
Kenneth Anderson,217.460.839-13,(66) 34917-2805,68927-503,6758
Hector Campos,408.176.235-07,(16) 87265-3419,37801-594,721
Angela Jones,735.819.602-30,(28) 16457-2980,92768-014,631
Jay Mendez,308.514.672-53,(81) 82967-1354,76409-258,4682
Robert Rogers,624.189.537-00,(18) 82169-4735,24975-103,508
Kimberly Cantrell,078.924.316-40,(43) 46397-8052,06483-975,174
Kristopher King,765.148.092-94,(75) 46379-8102,47056-321,5768
Alex Hansen,295.764.301-43,(69) 42503-7961,45896-372,3289
Jennifer Acosta,394.058.712-50,(34) 10792-5846,45912-037,694
Tammy Mays,857.046.132-17,(95) 71029-6453,82675-193,8715
Mr. Kelly Choi,346.951.807-66,(31) 87356-1290,72540-689,6075
Donald Hernandez,437.816.950-93,(58) 97415-0283,83426-751,538
Stephanie Foley,148.960.372-78,(56) 05189-2376,15438-690,497
Ashley Jordan,345.196.807-00,(20) 32489-1756,38952-641,8971
Michael Cooper,958.316.742-82,(73) 60725-3419,27619-048,7342
Kelli Vasquez,638.715.902-40,(52) 20458-6719,28047-361,9056
Carrie Fox,193.568.720-40,(28) 52601-3479,98164-032,7254
George Barker,421.358.760-62,(90) 28439-1657,01678-235,816
Susan Williams,328.519.074-41,(24) 59618-0243,12438-795,951
Jeffrey Mcdonald,598.632.407-29,(55) 50643-8972,30976-518,146
Patrick Glover,108.674.352-08,(23) 64813-9057,12569-480,719
Sean Blankenship,429.507.386-56,(91) 05829-3176,04298-317,3192
Samuel Chan,417.983.205-41,(66) 45610-7298,92704-581,8149
Edward Holder,793.024.168-87,(46) 79586-4023,39256-107,950
Linda Gamble,543.028.967-10,(52) 70289-3146,61259-437,7861
Kenneth Vargas,689.401.723-96,(38) 85249-0371,60739-825,67
Michael Marks,289.403.657-47,(69) 51349-0782,46025-893,9137
Isabel Brown,596.410.832-60,(82) 47602-5891,18324-706,692
Marcus Vasquez,509.728.164-02,(25) 10638-7542,97680-413,165
Kenneth Giles,634.289.071-40,(28) 18359-7640,35678-401,754
Nicole Williams,514.938.602-24,(26) 16079-4328,03518-742,9682
Kelsey Bryant,589.431.706-10,(98) 89124-3560,53784-602,792
Joshua Smith,340.189.275-41,(24) 87054-1263,10257-943,2795
Renee King,394.165.208-70,(80) 81406-2793,37528-096,1723
David Cooper,046.713.589-48,(97) 63079-2815,87510-934,4610
John Robertson,285.936.741-19,(66) 59238-4710,92370-146,709
Jeffrey Hill,423.596.871-82,(85) 23576-1498,47306-915,8719
Cassidy Austin,457.028.136-26,(20) 93274-8105,57830-249,0387
Kim Hill,210.653.487-62,(19) 60789-1243,74329-158,257
Alicia Francis,451.796.832-46,(19) 21034-5678,29061-357,583
Jennifer Gray,860.372.954-92,(34) 83672-0495,93076-452,381
Katie Hart,641.253.978-64,(94) 16043-9258,43261-508,1467
Carrie Rodriguez,489.235.716-28,(99) 24513-7698,31792-485,193
Joanne Moreno,253.849.671-37,(97) 45893-0761,74091-862,417
Jacob Figueroa,910.685.243-24,(13) 39182-7045,79381-065,8702
Donna Haley,934.652.871-00,(82) 48371-6259,24169-837,912
Kenneth Mccarthy,492.675.813-09,(84) 13904-6528,23794-815,5927
Christine Smith,950.486.271-30,(86) 90864-1235,28965-347,8021
Jennifer Scott,890.356.142-24,(86) 57143-8906,67359-184,4896
Diana Parker,234.715.960-70,(36) 65274-3901,02681-749,1968
Heidi Daniels,610.278.359-02,(24) 12495-7836,31496-827,752
Sean Thomas,467.902.581-67,(68) 73951-4260,16259-304,0876
Adrienne Forbes,375.084.261-26,(93) 64715-0928,08246-735,63
Linda Pena,798.465.213-91,(98) 43152-0796,19370-682,9104
Thomas Brown,458.621.937-82,(29) 59123-8764,25743-619,078
Christopher Lee,357.608.124-08,(36) 31587-9260,60419-387,8731
Jennifer Baker,372.809.546-00,(26) 08942-6571,59140-872,065
Chad Mejia,946.238.170-40,(59) 38752-1069,59873-246,172
Deborah Benjamin,693.127.058-30,(14) 47238-9016,14987-526,97
Stacie Jensen,436.275.190-43,(45) 01374-8659,15873-426,08
Jeremy Sanchez,596.178.034-10,(25) 23984-7601,93085-174,0127
Jeffrey Williams,572.934.168-73,(14) 17495-0826,30894-216,4915
Stacy Willis,830.649.751-10,(41) 31850-4972,48607-531,7483
Cheryl Miller,507.293.614-70,(41) 50216-8794,27043-561,7368
Paul Byrd,917.563.408-20,(64) 71496-2853,37201-895,3648
Kim Rivera,134.027.589-97,(62) 31259-7046,67495-380,1983
Nancy Fleming,143.890.576-93,(52) 85921-7063,15378-926,07
Kathleen Oconnell,386.792.045-10,(26) 91247-3506,78134-205,903
Brian Morris,253.649.807-74,(64) 72609-5438,92814-670,7654
Kristine Trujillo,185.206.379-30,(91) 25806-4197,26145-973,1784
Andrew Vargas,076.139.824-40,(24) 80962-1375,53201-679,2534
Brittney Levy,908.361.254-60,(80) 92764-8301,76513-429,3268
David Greene,530.126.984-42,(51) 87421-6390,27190-354,1896
Laura Henderson,342.810.695-42,(26) 29074-8635,79356-284,46
Robert Mann,475.269.038-10,(46) 72319-5640,49621-087,3067
Angela Mendez,027.843.195-04,(56) 87054-9216,76140-235,8265
Craig Whitaker,123.607.954-06,(95) 45297-6013,81469-023,2450
Julia Lewis,231.964.857-73,(73) 84012-6975,20341-896,2806
Tammy Welch,409.863.217-96,(71) 45029-3187,67835-420,1325
Joseph Lee,209.586.471-94,(90) 28764-9350,62198-570,3816
Paula Russell,028.534.796-92,(19) 97165-4302,96328-705,9256
Sarah Jimenez,571.062.483-71,(90) 91260-7345,18765-340,436
Sarah Jackson,092.648.157-67,(78) 46815-7302,19742-385,4037
Mr. Daniel Rowe,346.127.085-71,(25) 05491-8763,63980-251,302
Adam Crawford,978.342.601-03,(88) 50374-8162,52693-807,428
Diana Smith,096.541.327-61,(47) 52367-9401,50649-217,164
Amber Fisher,831.526.907-03,(38) 45038-1729,32809-541,670
Dawn Carlson,064.178.523-26,(36) 75362-0418,84176-203,324
Curtis Livingston,657.281.403-35,(86) 81073-2946,71295-346,064
Brittany Pham,342.081.796-78,(18) 49057-8216,01823-974,31
Andrew Suarez,671.230.498-96,(93) 91804-3256,37846-901,892
Veronica Schneider,579.681.234-37,(54) 28796-3415,39784-620,1502
Mrs. Shelly Ramirez,403.795.128-23,(17) 69270-5183,14785-602,457
Julie Robinson,614.793.582-82,(61) 08652-3714,04861-235,507
Travis Singh,170.236.895-59,(68) 70842-9316,78302-649,7946
Carol Scott,931.547.680-84,(65) 64810-2537,02165-937,51
Andrew Holder,295.760.348-92,(50) 97236-4185,29780-354,8127
Andrea Bender,536.870.492-56,(41) 65987-3410,51308-492,3826
Laura Harrison,815.620.743-26,(93) 26409-5317,36481-297,209
Stephen Johnson,063.259.187-03,(91) 96740-3825,23568-041,927
John Gonzalez,965.173.804-93,(81) 90576-4183,58426-379,4762
William Russo,764.201.358-26,(68) 32971-4608,69725-018,9528
Kristina Zavala,974.628.351-00,(98) 37602-5418,35047-928,513
Felicia Mathis,849.023.516-33,(64) 15206-7983,30758-912,2579
Austin Martinez,475.691.032-70,(40) 54670-3982,01492-837,590
William Smith,451.736.908-01,(40) 35421-0978,71953-846,049
Emma Good,096.354.872-74,(51) 40278-9653,65027-381,638
Nicole Sherman,371.864.052-07,(66) 63591-4708,72306-189,0954
Sierra Ray,926.540.713-16,(65) 84052-7913,67392-185,958
Carlos Mathis,671.350.298-95,(31) 58126-3947,89421-053,2987
Erica Blackwell,348.605.912-24,(85) 21549-0836,71428-935,803
Elizabeth Johnston,057.986.142-20,(24) 85203-6794,84260-735,6803
Jerry Mitchell,864.390.257-83,(11) 37621-4590,15874-230,3721
Carolyn Rodgers,794.651.283-09,(30) 39850-4162,59368-702,580
Jason Snyder,480.192.673-87,(12) 41576-9238,94281-530,9152
Amber Patterson,382.607.914-04,(54) 10267-4385,73210-596,8935
Robert Bell,073.265.941-80,(37) 31642-9870,56039-721,1862
Pamela Baker,360.721.845-53,(84) 10473-6829,31096-458,4509
Sharon Logan,056.318.742-53,(99) 70289-3416,73580-421,402
Whitney Cole,219.376.845-55,(54) 27916-8053,10643-729,842
Brian Wilson,679.510.438-93,(58) 37642-5089,37869-024,786
Stephanie Taylor,852.361.470-26,(27) 24639-0851,80694-237,314
Ashley Johnson,231.908.465-70,(34) 98754-2361,74632-508,3508
Nicholas Martin,963.821.407-40,(30) 92487-3601,17249-635,985
Mark Watkins,980.125.634-60,(67) 84912-6503,74850-316,671
Mr. Larry Garrett,325.801.476-08,(85) 94216-0837,83706-192,8369
Sheila Joyce,753.248.960-47,(77) 20936-7845,34071-569,6580
Robert Zimmerman,685.107.234-35,(81) 91567-2043,94163-720,6574
Kimberly Ruiz,291.437.086-50,(62) 50287-3914,06289-517,7613
Robert Wright,790.285.631-21,(99) 14859-0276,18367-259,845
Hannah Robbins,520.178.396-12,(16) 03241-7968,85071-634,3762
Leonard Rice,267.130.854-07,(91) 86174-9032,24890-617,9721
John Patton,657.420.189-67,(58) 51397-0628,95471-306,0283
Joel Kelly,695.738.021-12,(67) 05619-3842,05436-829,2716
Melanie Keller,614.023.759-99,(37) 62518-4079,59043-621,498
Kenneth Rogers,253.487.190-05,(26) 43607-8529,52064-871,6953
Kelly Lawson,163.752.089-12,(86) 69480-2517,83957-264,130
Gerald Cole,859.713.640-57,(20) 54260-1398,23045-918,975
Joshua Mack,769.241.350-99,(70) 47635-0291,70614-352,1097
Jeffrey Simon,594.108.376-93,(95) 46289-3107,56270-319,1208
Donald Williams,560.412.387-08,(69) 78965-0312,71029-538,7165
Leah Barron,284.315.067-17,(89) 45689-0371,08197-436,479
Jessica Brooks,092.381.574-05,(68) 60438-9215,97482-301,874
Joshua Harrison,276.538.194-19,(83) 02596-7148,17860-592,415
Nicholas Cook,785.206.391-86,(36) 93476-1520,82705-643,2349
Mr. David Smith,071.589.624-58,(89) 47032-5198,14675-098,753
Christopher Wilson,941.760.382-50,(92) 63847-5012,60358-742,598
Thomas Wolfe,403.651.829-15,(18) 26839-4710,65190-473,7954
Steven Villa,731.459.682-46,(87) 48762-1530,78591-634,6519
John Harris,318.702.649-40,(56) 53281-7649,13458-079,3451
Gregory Moore,940.386.275-00,(61) 62794-0815,63249-857,4651
Daniel Bradford,295.478.613-28,(92) 08426-7135,87369-152,3961
Joel Frey,269.014.873-04,(27) 37896-2150,92103-576,5246
Samantha Keith,560.819.732-12,(13) 26079-5438,08742-359,853
Amy Brown,685.071.394-93,(17) 81602-7459,98456-730,3527
Nathaniel Simpson,820.753.194-05,(44) 15328-0497,29438-156,5402
Jordan Smith PhD,237.169.084-87,(14) 40137-8295,59124-087,0841
Shannon Norton,704.129.365-34,(52) 47085-2631,78041-295,586
Hannah Frost,249.570.631-25,(99) 91658-4270,21879-304,710
Maria Kennedy,259.340.716-61,(36) 23850-7496,52607-481,278
Phillip Black,265.713.094-16,(81) 46185-0372,29167-403,2654
Carl Johnson,609.218.435-42,(38) 74916-0358,37194-825,40
Ronald Adams,850.341.729-41,(58) 75026-3914,13459-628,50
Meghan Quinn,918.063.245-98,(27) 78346-9205,48793-056,3907
Tammy Carson,601.458.239-89,(90) 91624-0875,41726-305,32
Thomas Mcbride,506.472.981-20,(91) 75682-3194,28956-437,7815
Dawn Mccall,756.482.019-58,(71) 85307-4926,82350-167,350
David Soto,307.859.614-10,(55) 98470-3165,07854-912,9316
Kathleen Jennings,169.407.583-48,(62) 69705-1238,13068-957,679
Shane Mcintyre,314.860.952-24,(21) 79350-8164,63814-275,495
Jeffrey Williams,241.937.856-37,(55) 19402-3785,49635-218,8307
Emily Lee,702.934.516-99,(96) 02394-1785,96075-214,0867
Tara Welch,431.852.679-82,(93) 28753-1460,79351-486,7019
Julie Carr,618.429.730-96,(82) 35427-0619,91063-254,8134
Timothy Hunter,806.572.419-11,(50) 12306-8459,50621-398,2106
Thomas Fisher,132.405.986-98,(44) 90316-4257,90415-638,3240
Maria Bailey,258.134.079-79,(20) 86193-7452,17640-935,7016
Andrea Grant,531.246.789-82,(17) 46195-0723,14780-356,8231
Susan Wagner,802.157.493-32,(91) 64152-8903,31429-860,6951
Brian Martin,580.217.936-86,(59) 78134-0962,57309-682,789
Robert Carroll,960.418.573-00,(76) 57048-6293,04835-296,736
Kimberly Lewis,348.615.079-01,(52) 74398-6250,64370-891,04
Louis Delgado,502.468.379-00,(63) 13589-4720,79514-206,672
Daniel Martin,410.726.395-99,(91) 83952-4106,82617-450,2359
Denise Jacobson,580.792.461-49,(70) 86257-4193,04952-671,2049
Christine Gamble,746.825.930-56,(41) 24951-7386,73509-264,95
John Ross,568.931.402-15,(79) 61725-3980,82170-593,6395
Joshua Jones,867.935.104-01,(17) 86013-9724,21358-704,2089
Wendy Dougherty,061.843.972-22,(69) 53469-7218,40953-217,0782
Logan Smith,243.901.587-32,(49) 96824-7315,65930-142,1394
Justin Neal,178.426.935-28,(64) 40261-5389,91450-873,0784
Jessica Gilmore,293.678.510-30,(41) 73192-5064,75986-021,891
Joseph Hill,258.470.916-30,(60) 85039-1472,68235-107,27
Misty Jimenez,294.768.103-78,(18) 17502-9348,45198-236,1790
Charles Barber,845.726.310-26,(41) 61753-9824,96035-184,162
William Young,620.197.438-50,(60) 12790-5386,83210-645,531
Destiny Medina,769.201.835-95,(61) 21987-5640,53710-928,674
Sierra Landry,325.906.481-89,(24) 31970-5264,63015-784,1264
Heather Hughes,176.298.430-03,(50) 37680-9541,09342-581,09
Laura Norton,178.350.296-77,(35) 42950-1867,42756-098,38
Penny Schmidt,126.840.957-01,(31) 15830-4297,49187-360,2903
Morgan Sharp,439.507.681-57,(87) 53064-9218,92680-134,7429
Heather Henderson,472.398.061-03,(46) 09865-2134,93460-258,3280
Derek Collins,273.068.914-13,(82) 92610-3745,97861-023,301
Randy Warren,143.659.782-09,(25) 04135-2798,17029-684,05
Thomas Mathis,740.198.365-66,(38) 07183-4956,14908-625,0927
Brianna Wright,415.723.968-73,(59) 64987-3250,18256-904,2178
Kara Ramirez,184.706.329-22,(47) 35694-1278,13079-485,3517
Crystal Carter,864.503.971-01,(55) 25380-6179,24983-671,4618
Jennifer Campbell,406.983.527-00,(78) 06834-7951,48279-560,4230
David Andrews,645.108.729-76,(32) 17892-5603,18753-269,367
Calvin Wheeler,932.084.165-98,(18) 91574-2603,34527-601,0259
Nicole Sparks,470.126.985-94,(88) 91408-3672,95864-120,4906
Lawrence Andersen,549.617.820-76,(86) 18236-0749,79563-804,8549
Amy Webb,410.582.769-30,(88) 80371-5492,03267-549,8931
Abigail Luna,825.349.670-29,(53) 34076-5289,70213-546,2710
Lisa Davis,687.245.390-74,(80) 34105-9867,93471-260,5468
Marcia Brown,098.374.265-00,(87) 03856-2197,09642-187,7296
Carolyn Cross,972.458.106-30,(35) 78012-9643,08317-462,649
Jonathan Ramirez,609.421.578-85,(94) 80493-6175,93061-724,82
Joshua Pitts,340.871.692-78,(48) 76403-1589,98126-753,5096
Janet Erickson,752.691.804-30,(15) 81543-0976,56210-438,512
Michael Walker,359.420.716-16,(60) 37048-5169,89034-756,075
Jennifer Taylor,945.132.760-61,(62) 85364-1270,21960-385,1560
Ms. Deborah Hunt,631.480.752-26,(91) 31980-2654,13482-965,273
Kimberly Kidd,695.702.834-83,(66) 04526-7398,07154-932,3748
Joshua Boyd,705.316.482-90,(41) 28934-6170,30951-486,4721
Christine Martinez,091.528.743-97,(47) 39841-0267,29560-134,743
Micheal Barker,203.659.841-24,(88) 42096-8357,72943-518,4613
Sheila Santos,349.017.285-04,(43) 68925-0143,60894-257,0431
Angela Robinson,059.173.826-03,(87) 24081-7695,47690-825,87
Heather Blackwell,921.350.876-02,(83) 60134-8275,53094-816,208
Richard Soto,627.518.439-64,(37) 34680-9125,24190-573,256
Amber Jones,435.071.296-80,(33) 02365-1948,25187-049,416
Julie Wagner,603.817.529-68,(53) 74018-5623,14652-980,53
Samuel Sloan,762.453.180-17,(54) 37065-8419,24837-609,320
Ian Williams,823.107.964-50,(92) 29568-1704,01976-832,0268
Jeffrey Garcia,382.157.694-46,(53) 18435-6970,35281-674,701
Anthony Curry,521.839.670-21,(62) 85127-9430,05361-879,2430
Judy Park,165.370.429-25,(94) 13765-8492,16709-245,1504
Tammie Stokes,524.637.809-83,(47) 07412-5983,42156-980,0932
Jeffrey Le,028.965.314-24,(58) 38467-9125,24768-350,4958
Kimberly Bates,159.704.382-60,(14) 07469-5812,10795-346,8043
Craig Brooks,109.672.438-31,(14) 51280-9637,89062-514,61
Melissa Velasquez,045.127.396-61,(62) 23470-5816,26785-431,681
Rachael Webb PhD,943.021.578-79,(29) 13472-0569,42715-689,972
Victoria Allen,715.943.062-06,(92) 19372-0854,05736-912,4295
Colin Gonzales,972.145.038-32,(92) 94517-3602,43862-175,5379
Jeffrey Bishop,795.682.341-28,(54) 23869-7054,56913-842,3062
Jessica Wells,579.380.461-75,(57) 97032-6851,05719-426,6489
Jon Allen,631.849.750-10,(85) 02875-1693,16798-032,368
Micheal Goodman,248.356.791-64,(82) 42819-7630,14253-807,1654
Jessica Harper,192.634.078-78,(36) 26875-4310,50732-846,72
Deborah Gordon,275.846.310-53,(73) 64517-0298,93460-512,7524
Matthew Hudson Jr.,634.052.971-25,(99) 68257-3194,28140-673,536
Michelle Heath,831.652.074-53,(75) 54708-1369,14325-986,2941
Randy Gibson,978.321.560-40,(45) 59471-2063,63749-581,623
Norman Cook,291.087.465-67,(25) 72305-1648,62137-549,4957
Kaitlin Ray,983.024.157-23,(48) 34629-5170,56310-748,218
Madison Benson,206.795.413-06,(35) 62483-7950,12075-469,2493
Sarah Jones,439.067.812-40,(77) 35106-8479,72093-185,7294
Michael Jones,987.643.152-82,(84) 91264-8370,42930-685,608
Katherine Yang,491.350.628-51,(46) 30692-1485,27803-651,7345
Terry Beck,829.713.640-03,(89) 95267-4183,19053-268,3958
Rachel Parker,834.572.109-50,(58) 36501-2748,28653-970,054
Emily Jackson,281.340.657-08,(75) 25947-1683,81093-765,3127
Erin Jimenez,824.601.957-02,(28) 64182-7590,59176-430,768
Robin Greene,289.603.451-05,(51) 79803-2146,51678-049,3740
Joshua Eaton,352.609.184-60,(24) 09543-2786,98406-753,8216
Nathan Thomas,397.456.281-82,(72) 89741-5032,72604-983,9417
Sydney Roberts,079.325.846-47,(93) 54701-8926,60985-274,739
Diana Wilson,645.321.089-42,(76) 23175-8609,75198-304,965
Justin Austin,897.365.241-91,(90) 15329-7068,58126-709,8173
Debra Turner,914.560.378-20,(99) 84371-2695,83514-706,925
Jamie Miller,425.138.697-37,(55) 80715-4392,21680-573,2751
Troy Miller,651.473.928-82,(72) 48015-9623,41079-623,1295
Elizabeth Williams,928.716.530-03,(92) 80172-6493,98542-106,074
Brian Schultz,037.215.489-14,(77) 94360-8517,28136-074,9827
Michael Hunter,917.682.453-55,(52) 94872-3051,68594-217,73
Julia Davis,508.724.961-20,(71) 80164-5932,24579-168,2578
Jonathan Dorsey,763.810.429-31,(77) 50718-4639,29531-867,56
David Bass,654.192.370-16,(13) 82319-7506,96210-543,4063
Jonathan Boyd,471.629.508-76,(80) 67901-2354,01675-943,4856
Victor Adams,421.875.096-30,(48) 71480-5623,13547-069,4537
Gerald Meyer,870.139.265-40,(89) 41593-8206,42836-019,2194
Julia Mcdaniel,248.753.019-79,(54) 23068-5149,62154-983,5467
Jennifer Mendoza,374.508.961-84,(11) 53628-1794,57418-960,987
Daniel Landry,957.386.402-92,(83) 64198-2305,38147-295,3741
Kyle Newman,675.302.894-38,(95) 41603-5982,72415-693,4290
Tiffany Evans,817.649.035-01,(27) 78956-4210,40739-825,713
Derek Richardson,910.642.783-96,(90) 73250-4681,08745-261,9814
Carl Wilkinson,623.145.879-28,(87) 53169-2874,75402-896,3869
Derrick Perry,042.531.967-99,(91) 62819-3074,17904-285,0538
Scott Warren,134.685.097-66,(63) 12475-0683,69215-480,856
Keith Curry,689.534.071-84,(55) 67143-9820,95083-172,8697
Anne Lee,062.941.835-70,(50) 68254-1039,89240-671,0836
Robert Miller,462.907.185-76,(31) 17046-5392,81234-075,5063
Steven Sherman,856.049.372-74,(12) 38294-6507,78346-291,463
Ronald Miller,632.745.109-80,(15) 79360-1285,07268-954,3406
Mark Owen,417.608.392-13,(39) 10823-7945,41698-532,5728
Michael Cochran,358.026.947-00,(17) 04893-5271,78529-016,6745
Jeanette Burch,863.495.271-19,(44) 54627-3819,10267-843,8416
Laura Ramsey,195.067.234-43,(45) 69032-1487,63290-458,327
Michael Tran,153.097.268-02,(68) 26145-7903,83214-957,483
Steven Matthews MD,651.247.890-85,(56) 48365-9102,31468-095,0257
Jared Jones,130.548.629-33,(25) 86352-9710,57369-248,901
Dennis Anderson,905.786.134-84,(88) 89650-2743,01863-725,2135
Elizabeth Aguirre,415.879.632-64,(74) 94673-1852,98061-572,9743
Brian Jordan,178.956.432-82,(22) 92830-5417,45820-139,268
Joseph Griffin,386.095.124-60,(19) 63917-5240,48706-953,316
Melissa Young,175.340.689-75,(59) 71360-9258,19320-756,2714
Timothy Carrillo,319.742.685-19,(49) 86091-7425,48703-529,5431
Lisa Cooper,645.190.728-67,(41) 92018-4576,87690-513,6723
Daniel Nelson,935.206.784-38,(50) 09281-5347,98054-723,4891
Patrick Chen,429.685.037-74,(14) 83240-7691,43581-079,426
Steven Clark,742.813.960-04,(28) 17564-0389,29087-143,703
Christopher Moore,276.590.143-07,(82) 36407-9125,54081-362,1840
Harold Miranda,381.207.694-22,(18) 13854-0962,54928-076,0613
Heather Banks,039.586.412-70,(94) 49125-8703,94023-751,0629
John Harper,165.709.423-52,(31) 24038-7916,70631-849,870
Alex Gomez,782.360.149-40,(44) 42865-0793,04279-135,9607
Tyler Thomas,429.637.150-99,(14) 36598-7142,28915-734,864
Katherine Perry,487.260.139-40,(40) 27490-5836,40872-913,2960
Leslie Hurley,425.809.761-67,(75) 30687-9124,15683-790,0791
Karen Harris,936.541.782-19,(48) 64210-5837,01896-235,24
Tara Vega,164.980.523-33,(89) 91648-0753,26451-038,0923
Emily Thomas,850.143.976-20,(16) 18705-6349,63041-592,1932
Rachel Campbell,216.834.970-31,(13) 56480-2193,91286-407,109
Richard Mason,425.916.738-37,(62) 95681-7023,16395-742,419
Lisa Bell,340.216.859-60,(64) 24319-0875,87534-209,520
Albert Riley,347.051.682-08,(69) 47560-1983,12065-894,496
Megan Crawford,136.250.479-34,(62) 72350-8691,34285-097,835
James Molina,342.018.675-44,(46) 45693-2017,42986-701,76
Nicole Singh,624.870.395-74,(32) 53264-0978,20376-489,429
Christopher Olson,538.917.024-50,(83) 06453-7128,72390-645,9658
Aaron Hernandez,273.865.940-38,(96) 54108-7296,29743-810,714
Mary Miller,150.829.376-77,(50) 29618-4573,73209-461,375
Shelby Proctor,952.348.017-05,(59) 30267-8459,87392-560,8316
Richard Henderson,587.641.392-55,(80) 59641-2307,97015-683,823
Laura Reed,783.426.190-87,(61) 18265-7394,10752-368,7285
Daniel Douglas,479.230.165-34,(88) 27859-1430,24673-918,2435
Carrie Lee,061.437.985-75,(69) 90178-3625,85736-109,3584
Gregory Smith,814.602.735-08,(82) 91032-4867,30147-982,913
Cody Riley,837.162.509-02,(72) 84073-9162,09345-216,96
Brian Sellers,173.624.095-16,(49) 20718-5364,38921-057,291
Victoria Park,370.259.416-70,(92) 13457-2869,06893-127,807
Todd York,307.462.591-07,(56) 84109-2735,10692-378,562
Jonathan Ortega,146.839.527-00,(61) 30476-5918,01689-724,5360
Luis Gibson,279.341.608-87,(99) 23081-5749,64385-792,6493
Juan Williams,108.629.475-02,(63) 71263-5089,38917-546,8237
Michael Gardner,237.814.059-23,(93) 98601-5347,17532-846,9061
Audrey Lewis,046.571.239-80,(80) 37820-4695,02698-714,0796
Margaret Santana,095.268.713-59,(28) 27805-6934,36740-598,59
Robert Reyes,094.751.328-05,(71) 04513-6789,58206-793,843
Evan Valdez,697.058.314-75,(82) 97523-4018,37680-521,9435
Monica Mills,231.469.785-55,(49) 09136-5784,97412-603,4061
Ronnie Pineda,548.197.203-41,(48) 28359-6701,95834-017,1592
Angela Nelson,874.965.302-47,(75) 32164-8597,32054-168,4950
Diana Ibarra,091.643.287-40,(80) 76541-8039,81092-347,793
Tracy Johnson,792.301.465-52,(95) 53628-0974,94825-160,6281
Larry Robbins,963.541.702-07,(89) 68427-0531,60817-259,23
Terri Moreno,607.524.183-35,(70) 29351-7408,41972-630,3857
Stephanie Miller DDS,708.134.526-35,(15) 19578-2403,52460-971,9361
Tyler Mccoy,169.803.574-84,(73) 78503-6214,09428-157,54
Joanna Holmes,526.317.809-30,(99) 57368-2914,75093-264,0732
April Wu,281.530.469-42,(24) 14657-8039,12846-570,612
