NOME,CPF,TELEFONE,CEP,NUMERO
Tyrone Cuevas,531.468.702-07,(57) 70548-6329,05379-814,983
Elizabeth Clark,738.291.046-69,(81) 92740-5186,15974-860,6953
Robert Zamora,502.781.649-94,(93) 18724-0359,51708-269,856
Jill Davis,943.601.785-57,(31) 60473-9852,61753-492,3108
Robin Ferrell,850.169.732-02,(42) 52694-1087,53140-276,524
Jeffrey Sharp,691.805.432-51,(36) 54973-1602,05341-728,518
Johnathan Pruitt,518.643.092-70,(30) 17496-2853,41365-789,730
Stacey Russell,603.482.971-22,(79) 62348-7095,52301-869,572
Caitlyn Patterson,385.620.917-40,(41) 97146-5230,82630-754,6310
Michael Rogers,287.301.594-23,(40) 97482-3506,13042-869,69
Patrick Knox,549.387.601-93,(41) 76402-9831,83512-047,3460
Lee Hale,657.042.938-83,(25) 06573-1892,74153-208,7584
Kimberly Wheeler,716.530.248-44,(35) 02654-3819,64537-801,698
Mrs. Sharon Johnson DDS,189.735.264-64,(22) 71426-5089,45710-328,5384
Corey White,640.738.512-17,(46) 41392-7086,57908-132,596
Ashley Scott,578.102.936-21,(26) 20948-3756,45397-128,8634
Catherine Bennett,385.961.470-39,(57) 85273-0914,84572-136,293
John Smith,653.790.124-34,(79) 43281-6957,15896-234,1986
Kristin Lane,379.526.801-02,(99) 54382-0967,34069-581,3425
Robert Kelly,640.831.279-96,(51) 68194-5730,75362-804,9584
John Johnson,378.562.401-80,(66) 58013-7264,93165-247,635
Nicole Keller,350.128.496-98,(93) 78315-9246,08324-659,3165
Nancy Thompson,045.189.237-23,(71) 58312-7064,65138-794,871
Nicholas Green,073.429.615-07,(28) 10436-9587,59374-680,705
Kristi Boone,461.029.873-22,(70) 15326-9840,71685-349,6930
Lisa Gomez,021.745.683-90,(63) 70312-4695,12834-590,37
Alex Bailey,034.692.587-83,(34) 43867-1902,92571-486,6192
Mary Martinez,179.860.325-02,(67) 17624-9538,30629-154,6438
Michelle Kerr,408.315.726-71,(40) 26815-0743,32958-074,387
Shawn Harris,026.579.384-00,(42) 07318-4965,64537-192,06
Cathy Johnson,253.916.804-33,(32) 56741-0283,05412-867,50
Brandon Compton III,481.237.596-73,(81) 80523-4976,19372-865,97
Michael Harrison,506.274.398-29,(73) 53784-1206,06984-215,651
Meagan Green,781.526.049-76,(97) 34180-6957,65149-872,2349
Jay Johnson,284.301.596-06,(84) 63812-0579,41752-390,4167
Susan Morgan,478.103.956-10,(97) 91560-4287,19367-085,798
Vincent Watson,825.069.471-67,(13) 71803-6492,19530-647,5326
Michael Smith,546.921.038-33,(57) 69518-3274,20831-946,852
Heather Norman,073.958.461-84,(24) 47905-2816,83475-091,7862
Judy Stevens,819.037.642-03,(40) 62918-5473,68953-107,814
Debra Turner,184.365.207-26,(74) 51428-7903,79465-231,0391
Ian Powell,476.031.952-25,(25) 60173-5492,74362-801,5418
Tracy Bennett,315.986.704-84,(63) 26850-7419,70216-384,170
Jay Fernandez,849.162.037-04,(43) 38741-2609,27805-649,8236
Michael Harper,835.601.947-84,(96) 26578-3094,78219-543,4723
Stanley Price,185.967.420-85,(32) 39251-4608,81579-423,052
Kimberly Crawford,572.361.894-64,(23) 40726-3859,35108-462,31
Jonathan Gibson,956.027.418-01,(28) 34086-9175,93170-856,94
Jacqueline Moore,158.327.904-05,(74) 39108-7254,42785-136,8250
Tanya Freeman,653.481.092-15,(83) 42769-3501,23518-069,832
Natasha Mullins,928.716.430-40,(35) 96143-2807,52306-781,8291
Michael Barrett,436.982.150-98,(50) 32590-1684,90543-726,569
Ruben Martin,734.289.601-22,(26) 73461-0298,67310-958,7326
David Fischer,948.027.315-23,(68) 70184-2359,21084-763,502
David Ho,083.492.156-15,(25) 82493-7056,38209-471,1673
Kim Martinez,392.678.145-91,(55) 71436-8902,28716-903,6985
Elizabeth Payne,138.650.429-70,(89) 19856-2734,61094-385,3408
Eduardo Bowen,095.234.768-74,(74) 73925-0418,73481-906,913
Christine Wilson,724.986.301-04,(73) 95014-8276,10459-872,15
Tanya Murphy,581.092.637-12,(72) 49276-0581,03952-614,29
Kelly Cook,761.045.932-16,(11) 18769-0423,35247-069,2819
Lisa Weaver,591.607.423-99,(62) 60482-1375,89310-574,6187
Sandra Burns,517.630.849-57,(94) 32791-6540,90634-587,1784
Cheryl Valdez,136.849.705-57,(44) 07361-4295,89647-213,1908
Kevin Lester,204.653.719-06,(68) 29715-0643,91832-405,5817
Gary Branch,659.487.302-47,(72) 75096-1382,34780-269,7356
William Sullivan,905.732.618-30,(55) 41872-0593,17059-384,124
Lisa Evans,126.908.534-42,(68) 04297-3618,59863-427,102
Lori Ashley,534.786.210-62,(85) 15239-6078,57849-320,4705
Charles Ritter,869.357.412-46,(40) 27148-9306,08675-329,352
Betty Brown,652.479.018-94,(53) 94870-6231,16703-924,986
Christine Bowers,976.812.540-30,(41) 21746-0598,82967-451,756
John Perry,839.257.104-50,(64) 48507-1639,62485-093,9716
Brian Bray,547.321.089-97,(23) 46709-8512,79146-380,0271
Kathleen Khan,948.762.305-10,(80) 38604-9725,27104-639,9451
Nicholas Stevens,714.036.592-06,(55) 57240-8693,67410-398,9380
Valerie Church,549.673.108-93,(38) 14379-5062,24617-850,6718
Jessica Jimenez,843.076.521-26,(72) 10879-5634,42857-931,520
Jill Howell,195.487.036-10,(22) 71592-0384,52983-710,167
Gabriel Harrison,128.609.745-20,(27) 01369-5247,65780-124,3706
Rachel Ward,895.367.402-65,(74) 32950-1476,07298-453,648
Christopher Boyd,671.093.582-59,(30) 32487-1956,05493-281,58
Stephanie Garcia,914.825.673-00,(71) 42108-5376,54376-821,3745
Judith Edwards,937.861.052-86,(29) 74832-9610,26758-913,4827
Laura Ryan,389.712.650-86,(28) 50716-8439,81546-329,512
Ronald Roberts,937.286.451-09,(32) 45719-3260,92017-345,4216
Rick Cook,436.528.907-10,(40) 25419-6087,74820-319,642
Kimberly Griffith,517.483.096-84,(61) 07458-9362,95362-471,9641
Garrett Obrien,302.167.459-34,(82) 70186-4925,04925-618,34
Andrew Orr,967.142.380-96,(96) 08729-3546,07548-192,7489
Scott Burnett,825.167.930-30,(97) 17023-8546,80576-431,0718
Morgan Hall,176.903.842-69,(37) 74851-2690,64702-835,4798
Jason Torres,137.465.902-99,(57) 18509-6243,31452-890,857
Joseph Yang,524.816.390-06,(50) 36904-8275,67108-239,3726
Gabriel Torres,981.205.436-70,(62) 53180-2769,10583-469,6710
Vanessa Taylor,359.028.671-77,(28) 17258-6430,38971-460,7093
Christopher Sanders,416.035.927-25,(17) 43780-9516,52364-098,405
James Chan,350.642.178-62,(60) 57184-2603,28973-051,580
Christina Ingram,659.734.821-46,(98) 12609-8435,82590-437,8976
Kenneth Frost,785.102.349-14,(27) 36279-1840,13429-856,746
Ashley Estrada,346.590.872-47,(97) 56247-9801,27083-169,763
Audrey Gordon,720.951.348-50,(31) 21068-9357,85036-714,460
Dawn Cummings,354.716.980-10,(45) 79514-6823,67398-152,897
Amanda Martin,234.780.516-90,(55) 87625-4190,89450-631,289
Eugene Hill,579.264.018-11,(19) 64375-2809,05374-286,4305
Patricia Jones,945.273.810-32,(75) 89432-6715,78530-169,6425
Sonya Austin,293.786.510-03,(11) 93165-7204,43091-857,2035
Joseph Young,106.278.549-58,(77) 85746-3210,58302-496,346
Joseph Adams,381.256.479-37,(88) 26701-8594,65830-417,6915
Katelyn Pitts,504.618.732-90,(16) 95348-7061,62870-931,905
Daniel Reese,852.769.103-59,(39) 49267-1058,09386-547,603
Nancy Lyons,816.542.973-64,(14) 47359-6081,75190-264,354
Rita Bender,107.964.528-49,(23) 07856-9314,46082-913,679
Mrs. Holly Phillips PhD,768.519.430-93,(26) 41675-3280,20631-498,381
Hunter Rodriguez,094.635.827-38,(43) 02459-6871,17963-824,74
Audrey Hill,023.457.618-90,(40) 08392-5641,58124-036,01
James Santiago,027.543.691-80,(94) 38409-5172,40639-817,680
Melinda Dawson,528.049.736-38,(42) 67823-1904,07834-126,0437
Kimberly Mcgrath,157.938.204-50,(59) 39421-6708,39270-164,731
Matthew Wiggins,389.027.416-13,(88) 18769-3054,42638-905,4071
Dr. Stephanie Smith DDS,978.216.054-76,(55) 25486-9730,47693-281,7586
Barbara Reed,714.902.386-03,(12) 04915-7623,61940-785,4937
James Hansen,805.492.673-10,(28) 87095-1432,57490-182,982
Mr. Shawn Davis,754.683.921-19,(30) 03195-4276,13587-469,205
Heidi Duffy,395.841.602-06,(65) 71302-4956,62493-085,807
Christian Bullock,610.875.492-30,(33) 38540-1962,86429-705,519
Sara Brown,890.746.321-22,(50) 38241-6975,79062-381,108
Bryan Anderson,076.582.413-26,(62) 45872-0631,85063-792,7340
Stephanie Fox,693.481.207-78,(66) 41237-5086,06317-984,972
Hannah Hodges,350.248.716-26,(81) 40862-9731,24981-750,3264
Todd Harris,931.827.645-19,(44) 37026-9481,28519-630,1632
Alicia Patterson,470.128.536-62,(31) 42198-3560,25419-380,2406
Brenda Anderson,563.924.078-47,(49) 64915-8320,19426-870,658
Dylan Freeman,820.465.713-71,(85) 52041-7869,92705-164,1604
Christian Goodwin,569.712.830-40,(19) 30691-5784,50892-134,3645
Larry Thompson,614.327.095-34,(12) 10348-2769,13529-704,6793
Christine Nelson,526.413.708-08,(88) 97021-8645,96830-512,691
Joe Moon,810.756.943-10,(27) 45207-3861,42360-978,347
Lucas Clark,704.285.963-47,(63) 23480-9516,73849-652,689
Anthony Parker,940.185.367-39,(47) 73154-0289,29476-305,2165
Joan Davis,635.708.491-39,(49) 36240-5817,78420-916,967
Rachel Spears,619.405.238-42,(61) 49571-0823,61324-789,230
Bridget Lopez,596.831.740-00,(32) 19860-7542,09564-782,0693
Scott Alvarez,032.149.876-31,(99) 56973-1824,94305-612,6534
David Young,462.597.103-99,(56) 54309-1827,53976-128,702
Jordan Nguyen,687.051.943-93,(91) 50348-2967,71362-485,571
Jason Kelly,532.178.496-55,(15) 54290-1736,15389-062,2468
Jacob Berg,652.947.381-55,(12) 91473-2560,89627-145,039
Morgan Diaz,976.302.145-61,(28) 19586-7023,58349-726,4391
Joseph Malone,653.207.914-61,(27) 94028-7561,41920-576,9208
Deborah Moore,703.954.182-32,(21) 68490-5321,36479-182,9867
Toni Dawson,251.873.964-55,(40) 28405-3619,74310-682,031
Andrew Washington,840.156.973-75,(20) 86401-9725,61470-582,48
Elizabeth Davidson,789.261.435-46,(70) 60395-7821,30957-641,4671
Nicole Wilson,631.908.745-57,(69) 70941-5638,49870-512,9583
Emily Harris,850.946.172-49,(84) 20169-3854,29803-547,845
Amanda Travis,901.326.857-95,(16) 61589-3724,24519-763,03
Lisa Moore,347.019.826-87,(27) 54906-1327,45723-689,019
Randall Rios,369.408.725-74,(99) 61284-3907,85923-761,365
Edward Moreno,308.725.419-32,(18) 43029-8617,29376-150,368
Jerry Nelson,934.680.257-00,(58) 80746-1539,07832-591,6349
Sara Bell,893.476.052-47,(14) 83724-0591,46058-379,2196
Zachary Perry,742.108.593-97,(89) 87395-0642,32796-810,420
Jasmine Williamson,142.378.950-41,(75) 38740-5619,20837-415,0452
Nancy Harrington,548.270.916-76,(39) 45687-9130,09158-274,3684
Andre Wood,564.790.381-93,(58) 52096-1348,45809-621,496
Laura Melendez,962.147.835-91,(60) 84092-6357,51308-726,237
Christina Mosley,392.874.651-00,(78) 47801-6259,47369-205,7960
Christopher Moss,983.426.075-00,(79) 83694-5721,21965-043,238
Richard Rodriguez,546.892.170-76,(39) 21408-5739,74350-816,3490
Mario Mosley,768.142.950-67,(50) 06243-1985,26354-179,93
Zachary Oliver,960.158.742-01,(32) 79125-3860,47068-321,8974
Caleb Martin,945.602.738-47,(58) 54876-0329,85639-407,287
Edward Davis,785.023.469-38,(32) 18650-9372,81942-756,960
Courtney Barnes,391.284.576-09,(80) 72648-5093,78452-136,5971
Jared Pineda,410.587.923-50,(45) 96517-3084,39620-847,421
Dorothy Buchanan MD,812.590.374-79,(79) 61723-9085,30294-851,2056
Melissa Roberts,078.516.394-84,(81) 75039-8261,80617-423,9138
Matthew Castaneda,497.025.831-79,(74) 02596-3741,63105-928,9708
Matthew Chung,802.375.914-05,(54) 72603-5489,62759-810,923
Craig Mathews,126.834.095-24,(16) 76091-8452,26957-183,09
Gary Thomas,158.942.067-58,(26) 79054-1832,42605-793,390
Chris Thompson,786.142.903-22,(21) 16753-2980,72514-398,204
Melissa Torres,132.578.960-77,(26) 42689-7350,29368-715,8307
Nicole Anderson,201.896.437-22,(85) 53478-9601,10687-349,9806
Walter Schwartz,740.659.123-34,(84) 07461-2893,32614-709,159
Sharon Garza,926.084.731-13,(83) 96271-8350,93064-271,875
Angela Nicholson,472.915.863-64,(38) 40718-2693,95316-072,9732
April Reeves,498.027.351-32,(45) 63271-8450,89217-405,2563
Brian Rodriguez,854.036.912-51,(99) 23846-9507,75902-863,736
Larry Lee,496.328.150-33,(24) 32765-0481,69830-251,0328
Karen Meyers,836.174.052-07,(80) 50413-6897,40217-853,5289
Rita Pace,380.276.419-69,(17) 31967-8542,08972-154,7435
Benjamin Cole,508.214.637-80,(44) 56813-7024,28670-139,176
Justin Kim,267.158.304-44,(77) 42851-9670,98534-701,469
Nicole Villarreal,602.398.751-68,(19) 97342-8650,94026-713,9803
Jennifer Edwards,710.968.354-01,(36) 46351-2807,73429-610,6350
Paul Sharp,085.614.279-49,(24) 09184-3657,51984-267,5649
Erika Anderson,480.632.975-47,(61) 38149-0567,36851-209,9453
Kimberly Wang,974.503.286-74,(37) 05391-8467,07835-691,284
Jennifer Clark,814.239.705-60,(13) 25391-8674,09541-263,2315
Eugene Evans,710.689.324-22,(18) 27045-8619,45617-329,941
Brittany Brennan,073.241.859-32,(59) 57041-6238,08725-396,109
Jerry Brooks,624.019.785-85,(77) 68974-3205,15049-237,324
Frank Marshall,213.489.657-46,(63) 62085-4193,29871-456,2150
Bruce Smith,718.523.904-41,(97) 67934-2580,73182-560,3041
Charlotte Cortez,179.420.653-16,(31) 14698-3027,62490-713,710
Dr. James Barnes,079.364.281-78,(70) 71253-0469,46158-037,3267
Christopher Cobb,037.456.192-34,(21) 59680-7321,61458-297,437
Wendy Sanders,864.203.751-26,(99) 40318-7269,12574-839,325
William Carter,790.214.836-96,(62) 86957-3421,58293-764,149
Anita Ellis,396.047.285-47,(86) 37095-2684,21409-638,5276
Mark Price,980.146.327-96,(36) 27916-4835,73691-054,827
Yvette Thomas,371.964.052-34,(25) 51320-9648,54623-879,8273
Andrea Miller,452.976.038-38,(54) 02673-5149,79156-824,4872
Matthew Sandoval,613.248.905-33,(58) 51483-6297,39874-160,4150
Tina Green,826.307.514-90,(50) 86412-7053,45902-783,6520
Paul Hancock,903.758.612-03,(38) 01397-4268,19527-340,2134
Sarah Foster,290.834.571-41,(78) 37524-1809,78046-132,04
Jasmine Green,829.105.437-14,(19) 30598-6427,92087-654,6859
Kristin Williams,791.652.348-55,(99) 65382-7910,71064-985,8506
Kayla Jensen,564.398.721-09,(40) 62753-1809,95827-013,713
Randy Adams,425.870.319-23,(11) 59620-7813,67345-190,2967
Sarah Brown,052.937.468-47,(28) 52687-0143,41750-263,05
Corey Woods,016.375.984-75,(60) 86573-4021,42867-035,2147
Nicholas Patel,923.648.705-00,(61) 20397-8654,19837-456,5069
Katie Bass,827.430.195-14,(55) 36195-7802,87610-524,6034
Miss Suzanne Baker MD,705.341.928-23,(47) 97208-1645,78649-031,5790
David Olson,081.937.526-86,(66) 32168-5047,61259-408,659
Crystal Hicks,073.215.846-07,(12) 21694-3850,58691-473,974
Shannon Hernandez,856.391.740-48,(81) 10768-9543,17268-495,1284
Kenneth Valdez,397.081.564-93,(76) 60387-2941,17269-358,7195
Diane Brown,859.041.376-48,(54) 57689-2140,50491-283,458
Michelle Malone,814.062.397-04,(97) 13679-0452,36854-219,4852
Christina Lewis,459.827.613-46,(84) 32695-1807,02513-968,874
Thomas Johnson,413.589.726-64,(96) 38417-0952,05647-821,1509
Steven Mcfarland,415.379.028-14,(36) 80367-9412,30598-461,7869
Sandra Allen,197.832.564-91,(75) 54038-6217,83716-254,9624
William Lopez,964.370.512-99,(31) 47910-5368,40672-135,781
Kyle Anderson,896.207.351-02,(16) 35496-1278,51398-246,3610
Robert Meyer,952.368.140-06,(36) 40216-9387,95826-017,082
Kimberly King,917.634.582-37,(55) 23750-4698,82405-976,2369
William Houston,079.582.613-30,(93) 30582-1647,13540-762,9720
Jason Velasquez,641.295.378-73,(49) 04271-6938,41057-698,645
Mariah Nguyen,396.821.470-69,(95) 28093-1674,50891-723,140
Lisa Wall,283.716.095-40,(76) 80962-7431,80397-165,4791
Stephanie Campbell,230.147.589-14,(48) 82614-3705,61825-709,57
Alexander Murray,507.183.962-86,(54) 83156-2970,28496-150,6807
Amber Lawson,814.692.507-30,(58) 09613-7452,67920-385,8097
Karen Weber,980.152.746-30,(22) 26385-7140,84690-123,1205
Mary Keith,705.682.319-02,(18) 08523-9147,56081-437,203
Mario Anderson,981.435.627-19,(56) 46728-9301,96245-370,1786
Kim Hendricks,642.380.975-56,(24) 97601-2548,81053-249,2865
Cynthia Benson,310.492.578-04,(97) 57632-4108,56437-912,36
John Solis,168.530.729-95,(35) 50913-8426,72643-950,928
Scott Reynolds,795.480.236-10,(28) 65930-4127,86295-347,563
Robert Robinson,861.342.759-64,(75) 51896-0437,48120-695,0439
William Becker,653.974.802-74,(69) 03967-8214,23108-549,495
Christopher Brown,682.471.930-78,(54) 71628-0345,56342-809,40
Dr. Mary Wheeler,901.735.468-20,(95) 40592-3876,96058-472,9013
Marcus Brown,814.759.623-55,(83) 74901-3856,16305-824,752
Angela Welch,463.598.710-84,(93) 29865-3470,71206-853,1983
Alison Simmons,178.253.469-55,(43) 17349-6582,76185-234,194
Samuel Craig,731.460.259-06,(16) 04615-8293,28490-156,45
Michael Campbell,657.348.902-00,(17) 68943-5120,95746-308,64
Cynthia Lozano,328.564.719-19,(22) 46372-5108,43827-091,0215
Roberto Webb,720.384.615-62,(25) 36851-4097,81639-574,9320
Christopher Bishop,847.203.691-03,(27) 52907-1638,21963-804,056
Colin Green,369.270.451-80,(20) 34270-8569,51349-608,4638
Clinton Manning,206.418.537-26,(14) 25386-7901,25630-149,1702
Dr. Thomas Hamilton,265.871.039-95,(36) 24589-7016,85364-721,937
Joe Bailey,149.687.503-66,(11) 71942-0653,89217-430,8306
Lori Ritter,578.126.390-02,(26) 68514-7920,27314-098,8716
Elizabeth Hayes,824.679.305-56,(98) 31604-9875,38159-624,190
Leslie Kennedy,593.214.780-60,(52) 63274-1508,98203-564,2651
Heather Bradley,827.459.136-46,(25) 08793-5126,36745-219,837
Jeff Lloyd,081.769.324-69,(12) 61073-4895,17869-032,0613
Amy Phillips,368.170.524-08,(42) 68970-4235,95201-637,4189
Lindsay Maldonado,386.971.054-39,(24) 58726-0941,92081-563,980
Isaac Freeman,480.913.725-23,(86) 30487-5912,13789-605,62
Austin Beck,037.296.541-52,(43) 13940-2876,15690-342,504
Rebecca Henry,129.685.047-11,(60) 91306-4287,21475-893,503
Christina Craig,139.867.502-40,(83) 84691-7302,96471-302,361
Amber Gillespie,345.297.618-19,(80) 08516-3742,82195-034,4693
Catherine Sweeney,381.502.976-77,(73) 95126-3847,68910-274,360
Valerie Villegas,827.540.931-41,(17) 23497-1805,97034-152,8497
Derek Day,176.853.294-09,(22) 48537-1069,19648-752,316
Adam Ellis,537.462.109-25,(26) 50794-3618,97248-016,8957
Hannah Lopez,037.812.469-22,(85) 34891-0265,40265-973,910
Jonathan Murray,432.016.975-16,(19) 81546-3270,63512-078,6843
Valerie Davis,083.714.529-50,(39) 76092-5814,26591-837,7805
Sue Dillon PhD,103.896.542-05,(17) 54968-2137,69517-284,2715
Ashley Koch,492.613.857-37,(52) 50698-3472,08679-123,7659
Susan Holland,450.182.369-06,(56) 07295-1684,94156-023,7016
Adam Buck,405.893.261-98,(20) 92340-7168,74308-126,1572
Lauren Snyder,120.764.389-04,(97) 65837-2410,62043-987,3215
Maurice Lyons,286.579.031-21,(81) 83172-5940,18073-546,027
Brenda Farrell,284.169.750-94,(42) 91408-3756,64801-237,12
Margaret Gilbert,715.396.204-25,(36) 06592-3418,20346-817,1523
Joshua Campos,830.964.521-05,(27) 26485-1307,56482-793,647
Elizabeth Stone,671.908.524-76,(90) 26847-5310,10894-276,6823
Wanda Boyd,976.308.214-50,(48) 24615-7098,27318-465,546
Grant Gray,896.137.025-12,(45) 37492-1865,01593-687,1369
Perry Garcia,437.285.061-17,(58) 19508-7624,70129-685,3541
Brad Wright,674.530.291-80,(41) 68129-4375,04237-618,890
Thomas Rodriguez,247.983.605-38,(53) 10987-5634,05874-392,0931
Sarah Gonzales,107.284.936-40,(42) 31876-9504,13850-964,1479
Frank Livingston,296.703.518-12,(56) 17205-6489,41297-385,831
Henry Weaver,736.021.958-21,(51) 15893-0724,20136-974,296
Justin Gonzalez,985.137.062-21,(81) 73056-1489,37180-542,6539
Doris Noble,654.129.837-82,(80) 76453-2809,86104-372,276
Brooke Smith,154.903.726-99,(87) 65973-2804,01643-925,0246
Barbara Bates,693.015.827-59,(19) 43176-0829,30298-146,4612
Michael Cole,386.459.710-20,(65) 52936-0814,10264-537,9648
Teresa Wells,789.536.401-48,(38) 81735-9620,80312-675,0673
Terry Cook,215.096.873-86,(72) 60715-2439,70318-564,947
Michael Coleman,238.540.169-05,(80) 09287-6135,34120-796,8067
Shelia Johnson,892.710.546-01,(47) 09637-1582,61507-942,092
Mark Sharp,524.673.098-00,(78) 47069-2835,07518-263,312
James Roberson,402.639.158-24,(99) 03265-8791,98620-415,6720
Deborah Perkins,916.540.872-11,(53) 91320-5687,40679-185,278
Todd Rodriguez,109.624.835-24,(74) 95604-7312,89302-617,3042
Michelle Johnson,218.405.697-94,(23) 91673-0524,84652-013,9258
Vicki Contreras,801.952.346-42,(21) 58307-6149,45032-619,7362
Mrs. Joanne Caldwell,496.107.328-87,(71) 18740-6529,68197-043,7028
Alan Dunn,436.789.251-46,(25) 43790-1685,47158-309,4527
Andrew Brown,134.956.072-34,(54) 34078-5219,94357-068,5938
David Ross,183.564.709-00,(92) 45026-8371,27154-063,9426
Alison Blake,360.971.248-13,(29) 58072-1963,28961-574,257
Margaret Brown,290.785.431-32,(17) 81356-7409,81052-396,1935
Tara Thomas,456.273.089-74,(87) 31892-4057,74018-953,628
Robert Bennett,568.471.029-85,(89) 59203-7416,12376-948,860
Kaitlyn Murray,820.346.957-47,(16) 26019-8735,52817-034,3615
Sara Gould,940.278.165-01,(24) 51432-0786,76813-504,609
Robert Allen,924.513.768-64,(48) 20185-6497,08394-261,1092
Keith Weeks,540.739.862-10,(87) 08126-9357,93158-042,3147
David Hoffman,294.318.056-42,(91) 98613-7405,23867-195,9736
Beth Herrera,674.501.928-02,(11) 24539-6780,34197-605,4379
Julie Diaz,541.803.279-88,(26) 57960-2413,52690-183,8674
Stephanie Lawrence,681.249.057-11,(32) 10825-6349,81746-592,8246
Victoria Fisher,905.627.843-65,(83) 82095-7316,79063-824,547
Daniel Alvarado,163.024.957-25,(61) 65397-4081,47908-216,8017
Diana Myers,258.096.714-11,(72) 83970-5461,80625-713,82
Gabriel Boyd,842.795.310-05,(57) 85316-2907,54120-786,7095
Kristy Benton,643.170.852-08,(73) 39567-4082,08763-124,3750
Chad Smith,430.729.618-40,(21) 90378-2164,23841-569,310
Paul Stewart,162.807.359-40,(34) 26375-8140,46801-327,182
Joel Montgomery,302.174.965-80,(36) 21053-6874,25864-930,9573
Douglas Wong,068.231.945-70,(41) 63785-9421,72354-180,10
Molly Hill,214.035.679-99,(92) 64019-2583,40638-172,3470
Jordan Martin,147.280.635-26,(18) 28193-6704,57368-942,342
Dustin Sherman,309.678.214-87,(42) 41203-5798,18054-762,46
Michelle Price,215.340.987-04,(22) 36715-2904,72981-506,6431
Helen Hill,867.092.531-12,(68) 40269-7851,15370-684,629
Bruce Smith,183.625.097-59,(23) 46325-9870,73824-910,1306
John Duncan,562.470.398-83,(31) 73021-5864,83591-604,9816
Valerie Perez,872.419.630-40,(19) 92385-6047,97356-148,1627
Sheila Abbott,023.865.714-08,(27) 19435-2087,60954-278,509
Ryan Herrera,610.754.823-80,(13) 58473-9210,49857-031,1960
Tyler Cole,741.865.029-94,(23) 54867-1923,81742-035,926
Carolyn Miller,498.670.123-13,(19) 78425-1369,26789-435,6091
Sean Jordan,017.642.538-17,(96) 73894-0261,04285-763,180
Leah Jones,540.632.917-07,(40) 67304-1295,70429-653,708
Bradley Mcgee,452.769.310-70,(88) 43827-5609,96147-305,3812
Rachel Contreras,093.675.812-03,(97) 32467-0958,50278-964,3081
Elizabeth Woodard MD,053.186.742-08,(46) 27430-9856,40856-197,143
Sean Payne,578.209.641-11,(17) 19086-2374,13589-427,81
Michael Williams,028.451.763-17,(70) 36142-7850,85912-047,5194
Teresa Baker,815.472.603-35,(71) 03874-6529,81703-695,981
Patrick Fuentes,203.561.947-52,(44) 18064-5923,54238-691,785
Manuel Carter,206.415.798-02,(79) 07325-4869,74501-923,902
Caitlin Moore,952.761.480-58,(90) 43071-8692,53291-604,7908
Laura Cook,647.938.501-20,(90) 63705-9842,78134-906,045
Larry Bray,693.574.102-52,(83) 13268-0759,80452-973,6390
Craig Sandoval,180.596.473-93,(58) 56784-0913,52910-368,1928
Kelsey Nielsen,607.493.285-92,(89) 75694-0321,27149-850,961
Mr. Jeremy Patterson MD,618.973.450-20,(38) 94671-0538,61072-345,250
James Travis,750.684.219-01,(76) 16435-9708,32806-547,3562
Heather Baker,783.902.645-10,(22) 12098-5674,46295-381,8915
John Ortiz,634.287.905-29,(39) 36279-5084,63025-149,478
Katherine Taylor,840.965.317-66,(64) 32805-9176,13256-987,091
Jacob Robinson,240.579.386-56,(71) 17602-8953,97321-680,6401
Kimberly Leon,065.917.842-76,(18) 51984-7602,69810-324,7289
Robert Chambers,947.158.260-11,(49) 49572-1386,64023-518,1609
Mariah Ballard,710.895.642-01,(65) 83579-0642,53241-079,9071
Michelle Mills,251.843.790-88,(82) 01972-8354,51793-840,0165
Anthony Warner,624.983.057-00,(15) 56347-0892,17360-852,412
Justin Adams,932.487.501-97,(98) 16432-8705,70682-394,401
Jacqueline Wright,963.014.758-01,(24) 38150-2794,34825-076,801
Kayla Hicks,528.349.716-09,(82) 07512-4389,57491-302,123
Andrew Ellis,172.390.485-60,(63) 84627-3905,16285-374,142
Edwin Mccarthy,807.423.159-32,(70) 56302-1749,38760-521,8651
Taylor Hood,409.312.876-69,(28) 48913-7520,38210-547,470
Karen Baldwin,735.921.864-00,(23) 57238-0146,95267-038,7413
Brandon Watts,317.089.524-97,(30) 54830-2961,92714-583,51
Eileen Esparza,256.974.803-00,(20) 59614-3872,84673-059,794
Marissa Lawson MD,586.423.701-90,(63) 32156-4970,06732-915,6029
Richard Robinson,576.194.238-00,(67) 92350-7618,72083-516,8436
Tina Patterson,713.850.426-80,(45) 93705-1268,30846-729,5279
Kevin Montgomery,782.531.694-00,(13) 08764-9153,98715-203,9201
Allen Sawyer,893.152.046-89,(86) 67549-0183,49821-730,1905
Joshua Pope,732.109.654-80,(19) 02463-7195,19738-265,7582
Chad Frye,148.596.023-15,(82) 69017-4538,82761-430,219
Rebekah Cook,847.902.165-94,(19) 71293-8654,10438-926,2568
Kristin Miller,653.190.427-52,(35) 02476-1895,21045-793,8379
Scott Swanson,947.836.201-13,(16) 20638-7495,35429-107,0873
Corey Gibson,291.308.475-32,(33) 93401-7856,95840-231,749
Blake Prince,715.364.820-80,(65) 60519-8324,39726-450,371
Christopher Johnson,470.183.256-17,(94) 05274-8136,06841-923,3485
Daniel Yates,053.972.146-80,(63) 54916-7082,08721-639,3259
John Flores,821.036.459-60,(58) 08439-2716,59870-124,8542
